1	45	45	ADJ	ADJ		
2	°	°	NC	NC	g=m	
3	32	32	ADJ	ADJ		
4	′	′	PONCT	PONCT		
5	N	_	NPP	NPP		
6	2	2	ADJ	ADJ		
7	°	°	NC	NC	g=m	
8	49	49	ADJ	ADJ		
9	′	′	PONCT	PONCT		
10	E	_	NPP	NPP		
11	/	/	PONCT	PONCT		
12	45.533	45.533	NPP	NPP		
13	,	,	PONCT	PONCT		
14	2.817	2.817	NC	NC		

1	Le	le	DET	DET	n=s|g=m	
2	Massif	massif	NC	NC	n=s|g=m	
3	central	central	ADJ	ADJ	n=s|g=m	
4	est	être	V	V	n=s|t=P|p=3	
5	un	un	DET	DET	n=s|g=m	
6	massif	massif	NC	NC	n=s|g=m	
7	montagneux	montagneux	ADJ	ADJ	g=m	
8	au	à	P+D	P+D	n=s|g=m	
9	centre	centre	NC	NC	n=s|g=m	
10	de	de	P	P		
11	la	la	DET	DET	n=s|g=f	
12	France	France	NPP	NPP	n=s|g=f,m	
13	.	.	PONCT	PONCT		

1	Il	il	CLS	CLS	n=s|g=m|p=3	
2	s'	se	CLR	CLR	n=p,s|p=3	
3	agit	agir	V	V	n=s|t=J,P|p=3	
4	des	des	DET	DET	n=p	
5	restes	reste	NC	NC	n=p|g=m	
6	érodés	éroder	VPP	VPP	n=p|g=m|t=K	
7	d'	de	P	P		
8	une	une	DET	DET	n=s|g=f	
9	très	très	ADV	ADV		
10	ancienne	ancien	ADJ	ADJ	n=s|g=f	
11	chaîne	chaîne	NC	NC	n=s|g=f	
12	de	de	P	P		
13	montagnes	montagne	NC	NC	n=p|g=f	
14	,	,	PONCT	PONCT		
15	abritant	abriter	VPR	VPR	t=G	
16	principalement	_	ADV	ADV		
17	des	des	DET	DET	n=p	
18	roches	roche	NC	NC	n=p|g=f	
19	granitiques	granitique	ADJ	ADJ	n=p	
20	,	,	PONCT	PONCT		
21	sur	sur	P	P		
22	lesquelles	lequel	PROREL	PROREL	n=p|g=f	
23	on	on	CLS	CLS	n=s|p=3	
24	trouve	trouver	V	V	n=s|t=P,S|p=1,3	
25	les	les	DET	DET	n=p	
26	traces	trace	NC	NC	n=p|g=f	
27	d'	de	P	P		
28	une	une	DET	DET	n=s|g=f	
29	grande	grand	ADJ	ADJ	n=s|g=f	
30	chaîne	chaîne	NC	NC	n=s|g=f	
31	de	de	P	P		
32	volcans	volcan	NC	NC	n=p|g=m	
33	,	,	PONCT	PONCT		
34	aujourd'hui	aujourd'hui	ADV	ADV		
35	éteints	éteindre	VPP	VPP	n=p|g=m|t=K	
36	.	.	PONCT	PONCT		

1	Au	à	P+D	P+D	n=s|g=m	
2	Sud	_	NPP	NPP		
3	,	,	PONCT	PONCT		
4	on	on	CLS	CLS	n=s|p=3	
5	trouve	trouver	V	V	n=s|t=P,S|p=1,3	
6	d'	de	DET	DET	n=p	
7	immenses	immense	ADJ	ADJ	n=p	
8	plateaux	plateau	NC	NC	n=p|g=m	
9	calcaires	calcaire	ADJ	ADJ	n=p	
10	:	:	PONCT	PONCT		
11	les	les	DET	DET	n=p	
12	Grands	grand	ADJ	ADJ	n=p|g=m	
13	Causses	causse	NC	NC	n=p|g=m	
14	.	.	PONCT	PONCT		

1	Le	le	DET	DET	n=s|g=m	
2	point	point	NC	NC	n=s|g=m	
3	culminant	culminant	ADJ	ADJ	n=s|g=m	
4	est	être	V	V	n=s|t=P|p=3	
5	le	le	DET	DET	n=s|g=m	
6	puy	puy	NC	NC	n=s|g=m	
7	de	de	P	P		
8	Sancy	Sancy	NPP	NPP	n=s|g=m	
9	(	(	PONCT	PONCT		
10	1_886	1_886	NC	NC		
11	m	_	NPP	NPP		
12	)	)	PONCT	PONCT		
13	,	,	PONCT	PONCT		
14	qui	qui	PROREL	PROREL	n=s	
15	est	être	V	V	n=s|t=P|p=3	
16	un	un	DET	DET	n=s|g=m	
17	volcan	volcan	NC	NC	n=s|g=m	
18	.	.	PONCT	PONCT		

1	Par	par	P	P		
2	sa	sa	DET	DET	n=s|g=f|p=3|poss=s	
3	position	position	NC	NC	n=s|g=f	
4	centrale	central	ADJ	ADJ	n=s|g=f	
5	,	,	PONCT	PONCT		
6	les	les	DET	DET	n=p	
7	pluies	pluie	NC	NC	n=p|g=f	
8	et	et	CC	CC		
9	l'	le	DET	DET	n=s	
10	enneigement	enneigement	NC	NC	n=s|g=m	
11	une	une	DET	DET	n=s|g=f	
12	partie	partie	NC	NC	n=s|g=f	
13	de	de	P	P		
14	l'	le	DET	DET	n=s	
15	année	année	NC	NC	n=s|g=f	
16	,	,	PONCT	PONCT		
17	il	il	CLS	CLS	n=s|g=m|p=3	
18	donne	donner	V	V	n=s|t=P,S|p=1,3	
19	naissance	naissance	NC	NC	n=s|g=f	
20	à	à	P	P		
21	de	de	DET	DET	n=p	
22	nombreuses	nombreux	ADJ	ADJ	n=p|g=f	
23	rivières	rivière	NC	NC	n=p|g=f	
24	qui	qui	PROREL	PROREL	n=s	
25	alimentent	alimenter	V	V	n=p|t=P,S|p=3	
26	la	la	DET	DET	n=s|g=f	
27	Seine	Seine	NPP	NPP	n=s|g=f	
28	,	,	PONCT	PONCT		
29	la	la	DET	DET	n=s|g=f	
30	Loire	Loire	NPP	NPP	n=s|g=f,m	
31	,	,	PONCT	PONCT		
32	le	le	DET	DET	n=s|g=m	
33	Rhône	Rhône	NPP	NPP	n=s|g=m	
34	,	,	PONCT	PONCT		
35	la	la	DET	DET	n=s|g=f	
36	Garonne	Garonne	NPP	NPP	n=s|g=f	
37	et	et	CC	CC		
38	la	la	DET	DET	n=s|g=f	
39	Dordogne	Dordogne	NPP	NPP	n=s|g=f	
40	.	.	PONCT	PONCT		

1	On	on	CLS	CLS	n=s|p=3	
2	le	le	CLO	CLO	n=s|g=m|p=3	
3	surnomme	surnommer	V	V	n=s|t=P,S|p=1,3	
4	le	le	DET	DET	n=s|g=m	
5	"	"	PONCT	PONCT		
6	château	château	NC	NC	n=s|g=m	
7	d'	de	P	P		
8	eau	eau	NC	NC	n=s|g=f	
9	"	"	PONCT	PONCT		
10	de	de	P	P		
11	la	la	DET	DET	n=s|g=f	
12	France	France	NPP	NPP	n=s|g=f,m	
13	.	.	PONCT	PONCT		

1	Le	le	DET	DET	n=s|g=m	
2	Massif	massif	NC	NC	n=s|g=m	
3	central	central	ADJ	ADJ	n=s|g=m	
4	occupe	occuper	V	V	n=s|t=P,S|p=1,3	
5	une	une	DET	DET	n=s|g=f	
6	position	position	NC	NC	n=s|g=f	
7	centrale	central	ADJ	ADJ	n=s|g=f	
8	et	et	CC	CC		
9	un	un	DET	DET	n=s|g=m	
10	rôle	rôle	NC	NC	n=s|g=m	
11	de	de	P	P		
12	carrefour	carrefour	NC	NC	n=s|g=m	
13	,	,	PONCT	PONCT		
14	en	en	P	P		
15	France	France	NPP	NPP	n=s|g=f,m	
16	et	et	CC	CC		
17	au	à	P+D	P+D	n=s|g=m	
18	sein	sein	NC	NC	n=s|g=m	
19	de	de	P	P		
20	l'	le	DET	DET	n=s	
21	Europe	Europe	NPP	NPP	n=s|g=f	
22	:	:	PONCT	PONCT		
23	au	à	P+D	P+D	n=s|g=m	
24	cours	cour	NC	NC	n=p|g=f	
25	de	de	P	P		
26	son	son	DET	DET	n=s|g=m|p=3|poss=s	
27	histoire	histoire	NC	NC	n=s|g=f	
28	,	,	PONCT	PONCT		
29	il	il	CLS	CLS	n=s|g=m|p=3	
30	a	avoir	V	V	n=s|t=P|p=3	
31	servi	servir	VPP	VPP	n=s|g=m|t=K	
32	de	de	P	P		
33	point	point	NC	NC	n=s|g=m	
34	de	de	P	P		
35	repère	repère	NC	NC	n=s|g=m	
36	et	et	CC	CC		
37	de	de	P	P		
38	frontière	frontière	NC	NC	n=s|g=f	
39	,	,	PONCT	PONCT		
40	et	et	CC	CC		
41	a	avoir	V	V	n=s|t=P|p=3	
42	souvent	souvent	ADV	ADV		
43	été	être	VPP	VPP	t=K	
44	divisé	diviser	VPP	VPP	n=s|g=m|t=K	
45	entre	entre	P	P		
46	plusieurs	plusieurs	DET	DET	n=p	
47	pays	pays	NC	NC	g=m	
48	,	,	PONCT	PONCT		
49	ou	ou	CC	CC		
50	provinces	province	NC	NC	n=p|g=f	
51	.	.	PONCT	PONCT		

1	Il	il	CLS	CLS	n=s|g=m|p=3	
2	en	en	CLO	CLO		
3	résulte	résulter	V	V	n=s|t=P,S|p=1,3	
4	l'	le	DET	DET	n=s	
5	existence	existence	NC	NC	n=s|g=f	
6	de	de	P	P		
7	régions	région	NC	NC	n=p|g=f	
8	très	très	ADV	ADV		
9	différentes	différent	ADJ	ADJ	n=p|g=f	
10	et	et	CC	CC		
11	diversifiées	diversifier	VPP	VPP	n=p|g=f|t=K	
12	au	à	P+D	P+D	n=s|g=m	
13	sein	sein	NC	NC	n=s|g=m	
14	du	de	P+D	P+D	n=s|g=m	
